Model_series,Dual Sim,VoLTE,5G,Vo5G,Ram,Battery,Foldable Display,Dual Display,External_Memory,Price,company,Inbuilt_memory,fast_charging,Water Drop Notch,with Punch Hole,Processor_,No _of_Rear,No _of_Front,Primary_rear_camera,Primary_front_camera,Number_of_core,pixal_D,PPI
Y,1,1,1,0,8.0,4500,0,0,1024.0,20198,vivo,128.0,44.0,0,0,dimensity,3,1,64.0,16.0,8,2631.8054639353572,412.5086934067958
V,1,1,1,0,8.0,5000,0,0,0.0,30799,vivo,128.0,80.0,0,0,snapdragon,2,1,50.0,50.0,8,3070.439707924583,452.8672135581981
V,1,1,1,0,8.0,5000,0,0,1024.0,35990,vivo,128.0,100.0,0,0,snapdragon,3,1,50.0,50.0,8,3070.439707924583,458.27458327232586
V,1,1,1,0,8.0,4600,0,0,0.0,32999,vivo,128.0,66.0,0,0,dimensity,3,1,50.0,50.0,8,2631.8054639353572,388.1718973355984
V,1,1,1,0,8.0,5000,0,0,0.0,35999,vivo,256.0,80.0,0,0,snapdragon,2,1,50.0,50.0,8,3070.439707924583,452.8672135581981
V,1,1,1,0,8.0,4600,0,0,0.0,36199,vivo,256.0,80.0,0,0,dimensity,3,1,50.0,50.0,8,3070.439707924583,452.8672135581981
S,1,1,1,0,12.0,5000,0,0,0.0,39990,vivo,256.0,80.0,0,0,dimensity,3,1,50.0,50.0,8,3070.439707924583,450.2111008687072
V,1,1,1,0,12.0,4600,0,0,0.0,33499,vivo,256.0,80.0,0,0,snapdragon,3,1,50.0,50.0,8,3070.439707924583,452.8672135581981
V,1,1,1,0,8.0,4600,0,0,0.0,37999,vivo,128.0,66.0,0,0,dimensity,3,1,50.0,50.0,8,2631.8054639353572,388.1718973355984
V,1,1,1,0,12.0,4600,0,0,0.0,36999,vivo,256.0,66.0,0,0,dimensity,3,1,50.0,50.0,8,2631.8054639353572,388.1718973355984
V,1,1,1,0,12.0,4830,0,0,0.0,31899,vivo,256.0,66.0,0,0,dimensity,3,1,64.0,32.0,8,2609.9379302964276,397.85639181347983
S,1,1,1,0,12.0,5000,0,0,0.0,36990,vivo,256.0,80.0,0,0,dimensity,3,1,50.0,50.0,8,3070.439707924583,452.8672135581981
V,1,1,1,0,12.0,5000,0,0,0.0,45215,vivo,512.0,80.0,0,0,dimensity,3,1,50.0,50.0,8,3070.439707924583,452.8672135581981
X,1,1,1,0,16.0,5000,0,0,0.0,69999,vivo,256.0,120.0,0,0,dimensity,3,1,64.0,32.0,8,3070.439707924583,452.8672135581981
X,1,1,1,0,12.0,4870,0,0,0.0,68899,vivo,256.0,120.0,0,0,dimensity,3,1,50.0,32.0,8,3070.439707924583,452.8672135581981
X,1,1,1,0,12.0,4810,0,0,0.0,63490,vivo,256.0,120.0,0,0,dimensity,3,1,50.0,32.0,8,3070.439707924583,452.8672135581981
C,1,1,0,0,4.0,5000,0,0,2048.0,8349,realme,128.0,18.0,0,0,unisoc,2,1,108.0,8.0,8,2631.8054639353572,390.4755881209729
Narzo,1,1,0,0,4.0,5000,0,0,2048.0,7820,realme,64.0,33.0,0,0,unisoc,2,1,50.0,8.0,8,1754.5369759569046,260.31705874731523
C,1,1,0,0,6.0,5000,0,0,1024.0,8890,realme,64.0,33.0,0,0,helio,2,1,64.0,8.0,8,2631.8054639353572,391.6377178475234
Narzo,1,1,0,0,6.0,5000,0,0,2048.0,9478,realme,128.0,33.0,0,0,unisoc,2,1,50.0,8.0,8,1754.5369759569046,260.31705874731523
Narzo,1,1,0,0,6.0,5000,0,0,1024.0,9764,realme,128.0,33.0,0,0,helio,2,1,64.0,8.0,8,2631.8054639353572,391.6377178475234
C,1,1,0,0,4.0,5000,0,0,1024.0,8999,realme,64.0,33.0,0,0,helio,2,1,64.0,8.0,8,2631.8054639353572,391.6377178475234
C,1,1,0,0,6.0,5000,0,0,2048.0,9489,realme,64.0,18.0,0,0,unisoc,2,1,108.0,8.0,8,2631.8054639353572,390.4755881209729
C,1,1,0,0,4.0,5000,0,0,2048.0,8744,realme,128.0,33.0,0,0,unisoc,2,1,50.0,5.0,8,1754.5369759569046,260.31705874731523
Narzo,1,1,0,0,4.0,5000,0,0,1024.0,9800,realme,64.0,33.0,0,0,helio,2,1,64.0,8.0,8,2631.8054639353572,391.6377178475234
C,1,1,0,0,4.0,5000,0,0,1024.0,8990,realme,64.0,15.0,0,0,helio,2,1,50.0,8.0,8,1758.1854282185368,263.5960162246682
C,1,1,0,0,4.0,5000,0,0,1024.0,7290,realme,64.0,33.0,1,0,unisoc,3,1,13.0,5.0,8,1754.5369759569046,269.1007631835743
Narzo,1,1,1,0,4.0,5000,0,0,2048.0,11049,realme,128.0,33.0,0,0,dimensity,2,1,50.0,8.0,8,2631.8054639353572,391.6377178475234
Narzo,1,1,0,0,6.0,5000,0,0,1024.0,10190,realme,128.0,33.0,0,0,helio,2,1,64.0,8.0,8,2631.8054639353572,391.6377178475234
Narzo,1,1,0,0,8.0,5000,0,0,2048.0,10466,realme,128.0,33.0,0,0,unisoc,2,1,50.0,8.0,8,1754.5369759569046,260.31705874731523
C,1,1,0,0,6.0,5000,0,0,1024.0,10990,realme,128.0,18.0,0,0,unisoc,3,1,50.0,8.0,8,2639.102877873464,399.8640724050703
Narzo,1,1,0,0,4.0,5000,0,0,256.0,10499,realme,64.0,33.0,0,0,helio,3,1,50.0,16.0,8,2642.7531099215453,400.4171378669008
Other,1,1,0,0,4.0,5000,0,0,1024.0,10750,realme,64.0,33.0,0,0,snapdragon,3,1,50.0,16.0,8,2642.7531099215453,400.4171378669008
Narzo,1,1,0,0,4.0,6000,0,0,256.0,10899,realme,64.0,18.0,1,0,helio,3,1,50.0,8.0,8,1754.5369759569046,269.92876553183146
C,1,1,0,0,4.0,5000,0,0,1024.0,10999,realme,128.0,18.0,0,0,unisoc,3,1,50.0,8.0,8,2639.102877873464,399.8640724050703
Narzo,1,1,1,0,6.0,5000,0,0,2048.0,12877,realme,128.0,45.0,0,0,dimensity,2,1,50.0,8.0,8,2631.8054639353572,391.6377178475234
Other,1,1,1,0,6.0,5000,0,0,2048.0,13374,realme,128.0,45.0,0,0,dimensity,2,1,50.0,8.0,8,2631.8054639353572,391.6377178475234
C,1,1,1,0,6.0,5000,0,0,2048.0,12499,realme,128.0,15.0,0,0,dimensity,1,1,50.0,8.0,8,1758.1854282185368,263.5960162246682
C,1,1,0,0,8.0,5000,0,0,1024.0,12900,realme,128.0,33.0,0,0,helio,2,1,64.0,8.0,8,2631.8054639353572,391.6377178475234
Other,1,1,1,0,6.0,5000,0,0,2048.0,12999,realme,128.0,67.0,0,0,dimensity,3,1,50.0,16.0,8,2631.8054639353572,388.1718973355984
C,1,1,1,0,6.0,5000,0,0,2048.0,13489,realme,128.0,33.0,0,0,dimensity,2,1,50.0,8.0,8,2631.8054639353572,391.6377178475234
Narzo,1,1,0,0,4.0,4500,0,0,1024.0,12999,realme,64.0,33.0,0,0,helio,3,1,64.0,16.0,8,2686.6335812685734,407.683396247128
Other,1,1,0,0,6.0,5000,0,0,256.0,12990,realme,128.0,30.0,0,1,helio,4,1,64.0,16.0,8,2631.8054639353572,411.2196037398995
C,1,1,0,0,4.0,5000,0,0,1024.0,12990,realme,64.0,67.0,0,0,helio,2,1,50.0,16.0,8,2631.8054639353572,390.4755881209729
Other,1,1,0,0,6.0,5000,0,0,256.0,13999,realme,64.0,30.0,0,0,helio,4,1,64.0,16.0,8,2631.8054639353572,404.89314829774725
P,1,1,1,0,6.0,5000,0,0,2048.0,15999,realme,128.0,45.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Narzo,1,1,1,0,6.0,5000,0,0,1024.0,15323,realme,128.0,45.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Other,1,1,1,0,8.0,5000,0,0,2048.0,18708,realme,128.0,67.0,0,0,dimensity,3,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Narzo,1,1,1,0,8.0,5000,0,0,1024.0,16485,realme,128.0,33.0,0,0,dimensity,2,1,64.0,16.0,8,2631.8054639353572,409.3010052776606
P,1,1,1,0,8.0,5000,0,0,2048.0,18398,realme,256.0,45.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Narzo,1,1,1,0,8.0,5000,0,0,2048.0,18577,realme,128.0,67.0,0,0,dimensity,3,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Other,1,1,1,0,6.0,5000,0,0,2048.0,16499,realme,128.0,45.0,0,0,dimensity,2,1,108.0,8.0,8,2631.8054639353572,391.6377178475234
Narzo,1,1,1,0,8.0,5000,0,0,1024.0,16400,realme,128.0,45.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
P,1,1,1,0,8.0,5000,0,0,2048.0,16949,realme,128.0,45.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Other,1,1,1,0,8.0,5000,0,0,1024.0,16990,realme,128.0,80.0,0,0,dimensity,3,1,50.0,16.0,8,2639.102877873464,393.8959519214125
P,1,1,1,0,8.0,5000,0,0,2048.0,17990,realme,128.0,67.0,0,0,dimensity,2,1,108.0,32.0,8,2631.8054639353572,391.6377178475234
Other,1,1,1,0,8.0,5000,0,0,1024.0,17949,realme,256.0,67.0,0,0,dimensity,2,1,108.0,16.0,8,2631.8054639353572,391.6377178475234
Other,1,1,1,0,8.0,5000,0,0,2048.0,16998,realme,128.0,45.0,0,0,dimensity,2,1,108.0,8.0,8,2631.8054639353572,391.6377178475234
Other,1,1,1,0,8.0,5000,0,0,1024.0,17789,realme,128.0,67.0,0,0,dimensity,2,1,108.0,16.0,8,2631.8054639353572,391.6377178475234
Other,1,1,0,0,8.0,5000,0,0,1024.0,16500,realme,128.0,33.0,0,0,helio,2,1,50.0,16.0,8,2631.8054639353572,411.2196037398995
Gt,1,1,1,1,12.0,5500,0,0,0.0,24999,realme,256.0,120.0,0,0,snapdragon,2,1,50.0,32.0,8,3053.8657468854126,450.42267653177174
Other,1,1,1,0,8.0,5000,0,0,0.0,21828,realme,128.0,67.0,0,0,snapdragon,3,1,50.0,16.0,8,2642.7531099215453,394.44076267485747
Other,1,1,1,0,8.0,5000,0,0,0.0,27875,realme,128.0,67.0,0,0,snapdragon,3,1,64.0,32.0,8,2642.7531099215453,394.44076267485747
P,1,1,1,0,8.0,5000,0,0,0.0,21477,realme,128.0,45.0,0,0,snapdragon,2,1,50.0,16.0,8,2631.8054639353572,392.8067856619936
Gt,1,1,1,0,8.0,5000,0,0,0.0,23880,realme,128.0,80.0,0,0,dimensity,3,1,50.0,16.0,8,2642.7531099215453,394.44076267485747
Gt,1,1,1,0,8.0,4500,0,0,0.0,23999,realme,128.0,65.0,0,0,snapdragon,3,1,64.0,16.0,8,2631.8054639353572,409.3010052776606
Other,1,1,1,0,8.0,5000,0,0,0.0,23900,realme,256.0,67.0,0,0,snapdragon,3,1,50.0,16.0,8,2642.7531099215453,394.44076267485747
Other,1,1,1,0,8.0,5000,0,0,2048.0,20615,realme,256.0,67.0,0,0,dimensity,3,1,50.0,16.0,8,2631.8054639353572,394.57353282389164
Other,1,1,1,0,8.0,5000,0,0,0.0,23999,realme,128.0,67.0,0,0,dimensity,2,1,100.0,16.0,8,2642.7531099215453,394.44076267485747
Gt,1,1,1,0,12.0,4500,0,0,0.0,23649,realme,256.0,150.0,0,0,dimensity,3,1,50.0,16.0,8,2642.7531099215453,394.44076267485747
Other,1,1,1,0,8.0,5000,0,0,0.0,29004,realme,256.0,67.0,0,0,snapdragon,3,1,64.0,32.0,8,2642.7531099215453,394.44076267485747
P,1,1,1,0,8.0,5000,0,0,0.0,22799,realme,256.0,45.0,0,0,snapdragon,2,1,50.0,16.0,8,2631.8054639353572,392.8067856619936
Other,1,1,1,0,12.0,5000,0,0,0.0,26999,realme,256.0,67.0,0,0,snapdragon,3,1,50.0,16.0,8,2642.7531099215453,394.44076267485747
Other,1,1,1,0,6.0,5000,0,0,0.0,24150,realme,128.0,67.0,0,0,dimensity,3,1,108.0,16.0,8,2642.7531099215453,394.44076267485747
Gt,1,1,1,1,8.0,5500,0,0,0.0,29999,realme,128.0,120.0,0,0,snapdragon,3,1,50.0,32.0,8,3036.706110245112,450.549867988889
Other,1,1,1,0,12.0,5000,0,0,0.0,30990,realme,256.0,67.0,0,0,snapdragon,3,1,64.0,32.0,8,2642.7531099215453,394.44076267485747
Gt,1,1,1,0,8.0,5000,0,0,0.0,33900,realme,128.0,65.0,0,0,snapdragon,3,1,50.0,32.0,8,3523.670813228727,525.9210168998101
Gt,1,1,1,0,8.0,4800,0,0,0.0,54990,realme,256.0,250.0,0,0,snapdragon,3,1,200.0,32.0,8,3036.706110245112,446.5744279772224
Gt,1,1,1,0,8.0,5000,0,0,0.0,54999,realme,128.0,65.0,0,0,snapdragon,3,1,50.0,32.0,8,3523.670813228727,525.9210168998101
Gt,1,1,1,0,8.0,5000,0,0,0.0,52990,realme,128.0,80.0,0,0,snapdragon,3,1,64.0,32.0,8,3523.670813228727,525.9210168998101
Gt,1,1,1,0,8.0,5000,0,1,0.0,94990,realme,128.0,65.0,0,0,snapdragon,2,1,50.0,16.0,8,2686.6335812685734,335.8291976585717
Fold,1,1,1,0,8.0,5000,1,1,0.0,104990,realme,128.0,67.0,0,0,snapdragon,3,2,50.0,32.0,8,2626.3404196714487,364.76950273214567
Flip,0,1,1,0,8.0,4500,1,1,0.0,89990,realme,128.0,67.0,0,0,snapdragon,2,1,50.0,32.0,8,2741.678318111007,411.0462246043488
Moto,1,1,0,0,8.0,6000,0,0,1024.0,8999,motorola,128.0,30.0,0,0,helio,2,1,50.0,16.0,8,1765.4869016789673,267.49801540590414
Moto,1,1,0,0,8.0,5000,0,0,1024.0,9999,motorola,128.0,33.0,0,0,snapdragon,3,1,50.0,16.0,8,2631.8054639353572,401.8023609061614
Moto,1,1,0,0,4.0,6000,0,0,1024.0,7999,motorola,128.0,30.0,0,0,helio,2,1,50.0,16.0,8,1765.4869016789673,267.49801540590414
Moto,1,1,0,0,4.0,5000,0,0,1024.0,6999,motorola,64.0,15.0,0,0,unisoc,1,1,16.0,5.0,8,1754.5369759569046,267.45990487147935
Moto,1,1,0,0,4.0,6000,0,0,512.0,6999,motorola,64.0,33.0,0,1,snapdragon,3,1,64.0,16.0,8,1754.5369759569046,258.7812648903989
Moto,1,1,0,0,8.0,5000,0,0,1024.0,7999,motorola,128.0,15.0,0,0,unisoc,1,1,16.0,5.0,8,1754.5369759569046,267.45990487147935
Moto,1,1,0,0,4.0,5000,0,0,1024.0,8499,motorola,64.0,20.0,0,1,helio,3,1,50.0,13.0,8,2631.8054639353572,406.7705508400861
Moto,1,1,0,0,4.0,5000,0,0,1024.0,8499,motorola,128.0,20.0,0,1,unisoc,2,1,50.0,8.0,8,2202.9071700822983,338.90879539727666
Moto,1,1,0,0,8.0,5000,0,0,1024.0,7998,motorola,128.0,10.0,1,0,unisoc,1,1,13.0,5.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,3.0,5000,0,0,1024.0,6999,motorola,64.0,18.0,1,0,helio,2,1,13.0,8.0,8,1754.5369759569046,267.45990487147935
Moto,1,1,0,0,4.0,5000,0,0,1024.0,6999,motorola,64.0,10.0,1,0,unisoc,1,1,13.0,5.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,512.0,8999,motorola,128.0,10.0,0,0,helio,3,1,50.0,8.0,8,1754.5369759569046,269.92876553183146
One,1,1,0,0,4.0,5000,0,0,256.0,8999,motorola,64.0,33.0,0,0,snapdragon,2,1,16.0,12.0,8,2492.1709411675597,401.96305502702575
Moto,1,1,0,0,4.0,5000,0,0,1024.0,8990,motorola,128.0,18.0,0,0,helio,2,1,50.0,8.0,8,1754.5369759569046,263.0490218825944
Moto,1,1,0,0,4.0,5000,0,0,1024.0,6999,motorola,64.0,10.0,0,0,helio,2,1,16.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,1024.0,6999,motorola,64.0,10.0,0,0,helio,2,1,50.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,1024.0,7999,motorola,64.0,20.0,0,0,helio,4,1,50.0,16.0,8,1754.5369759569046,268.68866400565156
Moto,1,1,0,0,4.0,5000,0,0,512.0,7090,motorola,64.0,33.0,1,0,snapdragon,2,1,48.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,1024.0,8990,motorola,64.0,15.0,0,0,unisoc,1,1,50.0,5.0,8,1765.4869016789673,269.1291008656963
Moto,1,1,0,0,4.0,5000,0,0,1024.0,9990,motorola,128.0,15.0,0,0,helio,2,1,50.0,8.0,8,1765.4869016789673,269.1291008656963
Moto,1,1,1,1,8.0,5000,0,0,1024.0,11999,motorola,128.0,18.0,0,0,snapdragon,2,1,50.0,16.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,1,1,4.0,5000,0,0,1024.0,10999,motorola,128.0,18.0,0,0,snapdragon,2,1,50.0,16.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,1,0,8.0,6000,0,0,1024.0,11999,motorola,128.0,18.0,0,0,dimensity,2,1,50.0,8.0,8,2631.8054639353572,399.97043524853456
Moto,1,1,0,0,4.0,5000,0,0,1024.0,9999,motorola,64.0,33.0,0,0,snapdragon,3,1,50.0,16.0,8,2631.8054639353572,401.8023609061614
Moto,1,1,0,0,4.0,5000,0,0,1024.0,10999,motorola,64.0,33.0,0,0,snapdragon,3,1,50.0,16.0,8,2686.6335812685734,407.0656941316021
Moto,0,1,0,0,3.0,5000,0,0,512.0,11999,motorola,32.0,10.0,0,1,helio,3,1,16.0,5.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,4020,0,0,1024.0,10990,motorola,64.0,10.0,0,0,helio,2,1,16.0,5.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,1024.0,9990,motorola,64.0,15.0,0,0,helio,2,1,16.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,1024.0,9999,motorola,64.0,18.0,0,0,helio,3,1,16.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,1024.0,11999,motorola,64.0,18.0,0,0,unisoc,3,1,16.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,4.0,5000,0,0,512.0,10990,motorola,64.0,15.0,0,0,snapdragon,4,1,64.0,13.0,8,1754.5369759569046,269.5141284111989
Moto,1,1,1,1,8.0,6000,0,0,1024.0,14999,motorola,128.0,33.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,404.89314829774725
Moto,1,1,1,0,8.0,6000,0,0,1024.0,14999,motorola,128.0,33.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,404.89314829774725
Moto,1,1,0,0,6.0,6000,0,0,1024.0,14989,motorola,128.0,20.0,0,0,snapdragon,3,1,108.0,32.0,8,2686.6335812685734,396.2586403050993
Moto,1,1,0,0,4.0,6000,0,0,256.0,12490,motorola,64.0,20.0,0,0,snapdragon,3,1,64.0,16.0,8,2686.6335812685734,396.2586403050993
Moto,1,1,1,0,8.0,6000,0,0,1024.0,14990,motorola,128.0,33.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,401.18985730721914
Moto,1,1,0,0,4.0,5000,0,0,1024.0,14990,motorola,128.0,67.0,0,0,snapdragon,3,1,50.0,32.0,8,2631.8054639353572,399.97043524853456
Moto,1,1,0,0,6.0,5000,0,0,1024.0,12990,motorola,128.0,33.0,0,0,helio,2,1,64.0,16.0,8,2202.9071700822983,335.80901982961865
Moto,1,1,1,0,4.0,5000,0,0,1024.0,13990,motorola,64.0,20.0,0,1,snapdragon,3,1,50.0,16.0,8,2631.8054639353572,406.7705508400861
Moto,1,1,0,0,8.0,5000,0,0,1024.0,12990,motorola,128.0,44.0,0,0,snapdragon,3,1,64.0,16.0,8,2631.8054639353572,394.57353282389164
Moto,1,1,0,0,4.0,5000,0,0,1024.0,13990,motorola,128.0,33.0,0,1,helio,3,1,50.0,32.0,8,2631.8054639353572,394.57353282389164
Moto,0,1,0,0,4.0,5000,0,0,512.0,12990,motorola,64.0,15.0,0,0,snapdragon,1,1,50.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,1,0,4.0,5000,0,0,1024.0,14999,motorola,64.0,33.0,0,0,snapdragon,3,1,50.0,16.0,8,2686.6335812685734,407.0656941316021
Moto,1,1,0,0,4.0,5000,0,0,512.0,12999,motorola,64.0,33.0,1,0,snapdragon,4,1,48.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,0,0,6.0,5000,0,0,1024.0,12999,motorola,128.0,20.0,0,1,helio,3,1,50.0,13.0,8,2631.8054639353572,406.7705508400861
Moto,0,1,0,0,3.0,5000,0,0,512.0,12990,motorola,32.0,33.0,0,1,helio,3,1,16.0,5.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,1,1,12.0,6000,0,0,1024.0,16999,motorola,256.0,33.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,404.89314829774725
Moto,1,1,1,0,12.0,5000,0,0,1024.0,18928,motorola,256.0,30.0,0,0,snapdragon,2,1,50.0,16.0,8,2631.8054639353572,401.8023609061614
Moto,1,1,1,0,12.0,6000,0,0,1024.0,16999,motorola,256.0,33.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,404.89314829774725
Moto,1,1,1,0,8.0,5000,0,0,1024.0,17990,motorola,128.0,30.0,0,0,snapdragon,3,1,50.0,16.0,8,2631.8054639353572,398.7584036265693
Moto,1,1,1,0,8.0,4020,0,0,1024.0,19999,motorola,128.0,33.0,0,0,snapdragon,2,1,64.0,32.0,8,2639.102877873464,420.2393117632904
Moto,1,1,1,1,8.0,6000,0,0,1024.0,19990,motorola,128.0,33.0,0,0,dimensity,3,1,50.0,32.0,8,2631.8054639353572,398.7584036265693
Moto,1,1,1,0,8.0,5000,0,0,1024.0,19990,motorola,128.0,44.0,0,0,dimensity,2,1,64.0,32.0,8,2631.8054639353572,401.18985730721914
Moto,1,1,0,0,6.0,5000,0,0,1024.0,16999,motorola,128.0,33.0,0,0,helio,3,1,108.0,16.0,8,2631.8054639353572,401.8023609061614
Moto,1,1,1,0,8.0,5000,0,0,1024.0,15990,motorola,128.0,15.0,0,0,snapdragon,3,1,50.0,16.0,8,2631.8054639353572,401.8023609061614
Moto,1,1,0,0,4.0,5000,0,0,512.0,19999,motorola,128.0,30.0,0,0,helio,3,1,50.0,16.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,1,0,8.0,6000,0,0,1024.0,15990,motorola,128.0,44.0,0,0,dimensity,3,1,50.0,16.0,8,2631.8054639353572,404.89314829774725
Moto,1,1,1,0,4.0,5000,0,0,1024.0,16990,motorola,128.0,18.0,0,1,snapdragon,2,1,50.0,8.0,8,1765.4869016789673,267.49801540590414
Moto,1,1,1,0,6.0,5000,0,0,1024.0,16990,motorola,128.0,33.0,0,0,snapdragon,3,1,64.0,16.0,8,2631.8054639353572,394.57353282389164
Moto,0,1,1,0,4.0,5000,0,0,1024.0,19999,motorola,128.0,30.0,0,0,snapdragon,2,1,50.0,8.0,8,1754.5369759569046,269.92876553183146
Moto,1,1,1,0,4.0,5000,0,0,1024.0,19990,motorola,128.0,15.0,0,1,snapdragon,2,1,48.0,8.0,8,1754.5369759569046,269.92876553183146
Edge,1,1,1,0,8.0,5000,0,0,0.0,20999,motorola,128.0,68.0,0,0,dimensity,2,1,50.0,32.0,8,2631.8054639353572,401.8023609061614
Edge,1,1,1,0,12.0,5000,0,0,0.0,22999,motorola,256.0,68.0,0,0,dimensity,2,1,50.0,32.0,8,2631.8054639353572,401.8023609061614
Edge,1,1,1,0,8.0,4400,0,0,0.0,26999,motorola,256.0,68.0,0,0,dimensity,2,1,50.0,32.0,8,2631.8054639353572,401.8023609061614
Moto,1,1,1,0,12.0,5000,0,0,1024.0,20990,motorola,256.0,67.0,0,0,snapdragon,3,1,50.0,32.0,8,2631.8054639353572,401.18985730721914
Moto,1,1,1,0,12.0,5000,0,0,0.0,29999,motorola,256.0,80.0,0,0,dimensity,2,1,108.0,32.0,8,2631.8054639353572,394.57353282389164
Moto,1,1,1,0,8.0,5000,0,0,1024.0,24999,motorola,256.0,68.0,0,0,dimensity,3,1,50.0,32.0,8,2631.8054639353572,401.18985730721914
Moto,1,1,1,0,12.0,5000,0,0,1024.0,29999,motorola,256.0,30.0,0,0,snapdragon,2,1,50.0,32.0,8,2631.8054639353572,401.8023609061614
Edge,1,1,1,0,8.0,4020,0,0,0.0,21999,motorola,128.0,33.0,0,0,snapdragon,3,1,50.0,32.0,8,2631.8054639353572,404.89314829774725
Moto,0,1,1,0,6.0,5000,0,0,1024.0,28990,motorola,256.0,33.0,0,1,snapdragon,4,1,48.0,16.0,8,2631.8054639353572,387.03021528461136
Edge,1,1,1,0,6.0,4020,0,0,0.0,24999,motorola,128.0,33.0,0,0,snapdragon,3,1,50.0,32.0,8,2631.8054639353572,404.89314829774725
Edge,1,1,1,0,8.0,4000,0,0,0.0,22999,motorola,128.0,30.0,0,0,snapdragon,3,1,108.0,32.0,8,2686.6335812685734,400.9900867565035
Moto,1,1,1,0,6.0,5000,0,0,1024.0,20990,motorola,128.0,30.0,0,0,snapdragon,3,1,50.0,16.0,8,2631.8054639353572,398.7584036265693
Moto,1,1,1,0,6.0,5000,0,0,0.0,23990,motorola,128.0,33.0,0,0,snapdragon,3,1,108.0,16.0,8,2686.6335812685734,395.09317371596666
Moto,1,1,1,0,8.0,5000,0,0,1024.0,25999,motorola,128.0,30.0,0,0,dimensity,2,1,50.0,16.0,8,2631.8054639353572,392.8067856619936
Moto,1,1,1,0,8.0,4500,0,0,1024.0,29990,motorola,128.0,44.0,0,0,snapdragon,3,1,50.0,32.0,8,2639.102877873464,401.07946472241093
Moto,1,1,1,0,6.0,5000,0,0,1024.0,20999,motorola,128.0,20.0,0,1,snapdragon,3,1,48.0,16.0,8,2631.8054639353572,394.57353282389164
Edge,1,1,1,1,8.0,4500,0,0,0.0,31999,motorola,256.0,68.0,0,0,snapdragon,3,1,50.0,50.0,8,2973.7760507476014,443.84717175337335
Edge,1,1,1,1,8.0,5000,0,0,0.0,34990,motorola,128.0,68.0,0,0,snapdragon,2,1,50.0,32.0,8,2631.8054639353572,392.8067856619936
Edge,1,1,1,1,12.0,4500,0,0,0.0,35999,motorola,256.0,125.0,0,0,snapdragon,3,1,50.0,50.0,8,2973.7760507476014,443.84717175337335
Moto,0,1,1,0,8.0,5000,0,0,2048.0,33499,motorola,256.0,30.0,0,0,snapdragon,2,1,50.0,32.0,8,2631.8054639353572,392.8067856619936
Edge,1,1,1,0,8.0,4400,0,0,0.0,30990,motorola,128.0,68.0,0,0,snapdragon,3,1,50.0,32.0,8,2631.8054639353572,401.8023609061614
Edge,1,1,1,0,8.0,4800,0,0,0.0,39990,motorola,128.0,68.0,0,0,snapdragon,3,1,50.0,60.0,8,2631.8054639353572,392.8067856619936
Moto,1,1,1,0,6.0,4600,0,0,0.0,34990,motorola,128.0,67.0,0,0,dimensity,3,1,50.0,16.0,8,2686.6335812685734,408.30297587668286
Moto,1,1,1,0,8.0,4600,0,0,0.0,39999,motorola,128.0,125.0,0,0,snapdragon,3,1,50.0,60.0,8,2631.8054639353572,392.8067856619936
Moto,1,1,1,0,8.0,4020,0,0,0.0,31990,motorola,128.0,68.0,0,0,snapdragon,2,1,64.0,32.0,8,2631.8054639353572,419.0773031744199
